,act,gpa,ap,ib,sat1,sat2,income,rank,gender,ethnicity,decision,state,country,urm,first_generation,editor-in-chief,founder,president,captain,siemens,intel,presidential_scholar,national_merit,ap_scholar,aime,imo,national_achievement
3563,0,3.5,[4],0,2020,"[740, 680]",N/A,0.0,F,asian,A,va,US,,True,,,,,,,,,,,,
3564,33,4.0,"[5, 5, 4, 5, 5]",0,0,"[770, 750, 750]",N/A,0.1,M,caucasian,A,mn,US,,,,,True,True,,,,,True,,,
3565,0,3.4,"[4, 5]",0,2140,"[800, 730]",upper,0.2,M,caucasian,D,ca,US,,,,,,,,,,True,,,,
3566,0,3.96,"[5, 4, 5, 4, 5, 5, 3, 3]",0,2100,[730],middle,0.00591715976331,F,caucasian,A,ca,US,,,,,,True,,,,,,,,
3567,0,3.4,0,0,0,0,lower-middle,0.1,F,hispanic,,ca,US,,True,,True,True,,,,,,,,,
3568,0,3.98,[4],0,2080,[],upper-middle,0.0149812734082,F,african,A,tx,US,True,,,,True,,,,,,,,,True
3569,30,3.89,"[4, 5, 5, 5]",[6],2110,"[760, 710]",middle,0.0,M,caucasian,A,mn,US,,,,,,,,,,,,,,
3570,0,4.0,"[5, 5, 5]","[5, 7]",2140,"[800, 800]",N/A,0.00240384615385,M,asian,A,,US,,,,,,,,,,True,True,True,,
3571,35,3.8,"[5, 4, 4]",0,0,"[750, 780, 790]",N/A,0.0,F,asian,A,ca,US,,,,,,,,,,,,,,
3572,32,3.7,0,0,2090,"[720, 780]",N/A,0.0,M,hispanic,A,ma,US,,,,,True,,,,,,,,,
3573,30,3.7,"[4, 4, 2]",0,2160,[],lower-middle,0.2,F,caucasian,,me,US,,,,,,True,,,,,,,,
3574,0,3.8,"[5, 5]",0,1990,"[800, 770]",lower-middle,0.1,M,caucasian,R,pa,US,,,,,,,,,,,,,,
3575,0,4.0,"[5, 5, 3, 5]",0,0,0,lower-middle,0.1,M,caucasian,A,il,US,,,,,,,,,,,,,,
3576,0,4.0,"[4, 5, 4]",0,0,"[720, 690, 760]",middle,0.1,F,caucasian,A,nj,US,,,,,True,,,,,,,,,
3577,34,3.66,0,0,2110,"[800, 750]",middle,0.232142857143,M,caucasian,R,ny,US,True,,,,,,,,,,,,,
3578,0,47.9365,"[3, 4, 5, 2, 5, 2, 3, 4]",0,1860,"[720, 740]",N/A,0.0,,,A,de,US,,,,,,,,,,,,,,
3579,0,3.93,[5],0,2190,"[720, 740]",N/A,0.0,M,caucasian,A,nv,US,,,,,,,,,,,,,,
